# OpenSignals Text File Format
# {"00:07:80:0F:31:50":{"sensor":["ECG","XYZ","XYZ","XYZ"],"device name":"00:07:80:0F:31:50","column":["nSeq","DI","ECG","XYZ","XYZ","XYZ"],"sync interval":2,"time":"14:35:32","comments":"","keywords":"","device connection":"BTH00:07:80:0F:31:50","channels":[1,2,3,4],"date":"2024-03-27","mode":0,"digital IO":[0,1],"firmware version":775,"device":"biosignalsplux","position":0,"sampling rate":1000,"label":["ECG","XYZ","XYZ","XYZ"],"resolution":[16,16,16,16],"special":[{},{},{},{}],"sleeve color":["UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN"]}}
# EndOfHeader
0	0	1632	33132	37552	31808
1	0	29008	33160	37544	31808
2	0	46464	33192	37538	31808
3	0	55488	33188	37520	31824
4	0	60384	33192	37508	31836
5	0	63000	33192	37528	31837
6	0	64388	33210	37504	31848
7	0	65080	33192	37504	31834
8	0	65328	33192	37508	31829
9	0	65344	33192	37504	31828
10	0	54816	33188	37488	31836
11	0	28068	33172	37472	31844
12	0	14992	33184	37496	31828
13	0	8238	33168	37512	31824
14	0	4715	33160	37504	31834
15	0	2940	33140	37504	31844
16	0	2070	33160	37504	31860
17	0	1675	33173	37512	31856
18	0	1609	33152	37520	31846
19	0	1621	33140	37504	31848
20	0	1697	33132	37504	31840
21	0	26472	33132	37516	31828
22	0	45188	33156	37520	31828
23	0	54850	33188	37520	31840
24	0	60084	33192	37516	31840
25	0	62848	33209	37518	31834
26	0	64388	33216	37520	31840
27	0	65100	33232	37524	31842
28	0	65376	33238	37528	31852
29	0	65448	33224	37528	31834
30	0	53696	33228	37524	31829
31	0	27660	33202	37518	31836
32	0	14848	33188	37504	31844
33	0	8208	33176	37524	31844
34	0	4751	33176	37532	31844
35	0	3012	33178	37536	31844
36	0	2160	33168	37540	31840
37	0	1769	33152	37540	31840
38	0	1721	33140	37524	31842
39	0	1718	33128	37520	31830
40	0	1799	33108	37512	31824
41	0	28408	33120	37504	31824
42	0	46236	33146	37504	31820
43	0	55464	33168	37504	31824
44	0	60456	33188	37496	31828
45	0	63120	33200	37504	31828
46	0	64552	33200	37504	31817
47	0	65224	33216	37504	31824
48	0	65472	33236	37504	31832
49	0	65524	33232	37496	31832
50	0	65456	33212	37504	31820
51	0	31904	33200	37496	31832
52	0	17033	33184	37496	31830
53	0	9376	33168	37520	31824
54	0	5377	33172	37516	31828
55	0	3344	33156	37524	31840
56	0	2340	33168	37528	31826
57	0	1877	33148	37516	31836
58	0	1772	33136	37528	31840
59	0	1760	33140	37520	31842
60	0	1828	33125	37520	31840
61	0	29064	33142	37514	31832
62	0	46592	33142	37512	31824
63	0	55664	33176	37528	31836
64	0	60576	33192	37521	31832
65	0	63204	33226	37528	31840
66	0	64600	33228	37544	31824
67	0	65248	33240	37524	31832
68	0	65504	33208	37514	31844
69	0	65535	33188	37508	31832
70	0	65528	33192	37504	31826
71	0	35464	33200	37504	31824
72	0	18868	33172	37504	31822
73	0	10332	33184	37504	31832
74	0	5862	33176	37504	31840
75	0	3598	33164	37496	31840
76	0	2451	33168	37492	31844
77	0	1918	33138	37504	31848
78	0	1774	33128	37504	31840
79	0	1744	33120	37492	31844
80	0	1806	33128	37496	31828
81	0	30008	33114	37496	31832
82	0	47072	33152	37496	31848
83	0	55896	33170	37504	31848
84	0	60688	33196	37504	31860
85	0	63232	33196	37504	31844
86	0	64592	33218	37532	31840
87	0	65240	33228	37532	31856
88	0	65464	33240	37532	31844
89	0	65524	33226	37544	31840
90	0	65456	33212	37532	31828
91	0	35420	33200	37536	31828
92	0	18822	33184	37544	31832
93	0	10288	33168	37536	31850
94	0	5819	33160	37554	31848
95	0	3554	33168	37560	31856
96	0	2401	33184	37552	31857
97	0	1869	33169	37561	31852
98	0	1717	33176	37548	31852
99	0	1697	33164	37544	31844
100	0	1766	33152	37532	31848
101	0	28988	33152	37520	31856
102	0	46520	33176	37528	31848
103	0	55584	33168	37514	31848
104	0	60504	33192	37524	31848
105	0	63124	33216	37528	31852
106	0	64500	33224	37498	31856
107	0	65184	33244	37508	31856
108	0	65408	33224	37512	31848
109	0	65480	33228	37506	31834
110	0	65408	33214	37504	31828
111	0	35536	33192	37492	31824
112	0	18874	33192	37488	31832
113	0	10296	33172	37504	31832
114	0	5817	33156	37512	31840
115	0	3534	33144	37520	31840
116	0	2379	33152	37520	31842
117	0	1836	33144	37524	31846
118	0	1700	33152	37524	31838
119	0	1670	33140	37504	31840
120	0	1729	33168	37504	31850
121	0	27872	33184	37504	31844
122	0	45928	33188	37512	31856
123	0	55256	33204	37520	31836
124	0	60320	33204	37520	31828
125	0	63008	33220	37528	31844
126	0	64432	33212	37524	31840
127	0	65132	33200	37520	31840
128	0	65392	33224	37528	31844
129	0	65448	33224	37504	31856
130	0	65392	33224	37520	31852
131	0	36016	33208	37520	31844
132	0	19114	33180	37520	31841
133	0	10417	33164	37520	31844
134	0	5860	33144	37540	31844
135	0	3542	33152	37520	31860
136	0	2372	33152	37532	31848
137	0	1833	33168	37520	31842
138	0	1686	33160	37512	31836
139	0	1644	33125	37508	31836
140	0	1707	33120	37492	31832
141	0	25002	33136	37506	31816
142	0	44428	33141	37514	31810
143	0	54464	33152	37520	31821
144	0	59864	33168	37512	31828
145	0	62768	33168	37524	31820
146	0	64312	33184	37505	31836
147	0	65088	33184	37518	31836
148	0	65368	33200	37516	31844
149	0	65456	33200	37508	31841
150	0	65408	33204	37508	31844
151	0	34232	33184	37508	31840
152	0	18202	33192	37514	31840
153	0	9942	33172	37516	31834
